age,cap,goal,name,club
30,7,0,Ahmed Abdel-Sattar,Al-Jazeera
24,13,1,Yousef Al-Rawashdeh,Al-Ramtha
21,0,0,Ali Yaseen,Naft Al-Janoob
22,41,0,Ahmad Ibrahim,Ajman
22,21,0,Ali Bahjat,Al-Shorta
20,8,0,Ali Faez,Erbil
23,5,1,Yaser Kasim,Swindon Town
21,27,1,Ali Adnan,Rizespor
23,18,0,Amjad Kalaf,Al-Shorta
26,4,0,Justin Meram,Columbus Crew
23,30,1,Ahmed Yasin,Örebro
31,131,51,Younis Mahmoud,
18,23,0,Humam Tariq,Al Dhafra
23,14,0,Jalal Hassan,Erbil
22,9,0,Osama Rashid,Alphense Boys
28,76,4,Salam Shaker,Al-Shorta
20,17,1,Dhurgham Ismail,Al-Shorta
22,5,0,Marwan Hussein,Al-Shorta
27,78,13,Alaa Abdul-Zahra,Al-Shorta
22,2,0,Sameh Saeed,Baghdad
20,10,0,Mahdi Kamel,Al-Shorta
21,10,0,Mohammed Hameed,Al-Shorta
22,36,1,Saad Abdul-Amir,Erbil
20,3,0,Ali Husni,Al-Minaa
23,23,0,Waleed Salem,Al-Shorta
24,14,0,Tawfiq Ali,Wadi Al-Nes
32,27,0,Raed Fares,Thaqafi Tulkarm
31,44,3,Hussam Abu Saleh,Hilal Al-Quds
28,20,1,Ahmed Harbi,Al-Am'ary
28,17,1,Haytham Theeb,Hilal Al-Quds
27,29,1,Mousa Abu Jazar,Shabab Al-Khalil
28,48,13,Ashraf Nu'man,Al-Faisaly
27,9,0,Hesham Salhe,Hilal Al-Quds
25,12,0,Khaled Salem,Hilal Al-Quds
31,39,7,Ismail Al-Amour,Hilal Al-Quds
23,10,5,Ahmed Maher,Shabab Al-Dhahiriya
28,0,0,Tamer Salah,Hilal Al-Quds
28,1,0,Jaka Ihbeisheh,NK Krka
21,10,1,Abdullah Jaber,Hilal Al-Quds
30,29,1,Abdelatif Bahdari,Al-Wehdat
21,4,1,Mahmoud Eid,Nyköping
30,7,0,Alexis Norambuena,GKS Belchatow
21,7,0,Mus'ab Al-Batat,Shabab Al-Dhahiriya
25,25,6,Abdelhamid Abuhabib,Markaz Balata
30,56,1,Khader Yousef,Wadi Al-Nes
34,66,0,Ramzi Saleh,unattached
23,0,0,Rami Hamadi,Shabab Al-Khalil
32,27,1,Murad Ismail Said,Hilal Al-Quds
