age,cap,goal,name,club,nation
25,10,0,Ren Hang,Jiangsu Sainty,china
25,8,0,Mei Fang,Guangzhou Evergrande,china
25,7,0,Jiang Zhipeng,Guangzhou R&F,china
25,41,4,Zhang Linpeng,Guangzhou Evergrande,china
21,1,0,Li Ang,Jiangsu Sainty,china
23,22,5,Wu Lei,Shanghai SIPG,china
25,8,0,Cai Huikang,Shanghai SIPG,china
27,33,14,Yang Xu,Shandong Luneng,china
34,81,15,Zheng Zhi,Guangzhou Evergrande,china
27,49,12,Hao Junmin,Shandong Luneng,china
23,0,0,Yan Junling,Shanghai SIPG,china
27,41,0,Liu Jianye,Jiangsu Sainty,china
24,2,0,Ji Xiang,Jiangsu Sainty,china
25,21,1,Wu Xi,Jiangsu Sainty,china
25,22,4,Sun Ke,Jiangsu Sainty,china
25,14,0,Zhang Chengdong,Beijing Guoan,china
28,79,18,Gao Lin,Guangzhou Evergrande,china
21,2,0,Liu Binbin,Shandong Luneng,china
27,36,6,Yu Hanchao,Guangzhou Evergrande,china
27,50,10,Yu Hai,Guizhou Renhe,china
21,4,0,Liao Lisheng,Guangzhou Evergrande,china
25,10,0,Wang Dalei,Shandong Luneng,china
28,61,0,Ri Myong-guk,Pyongyang City,north_korea
25,0,0,Ri Chang-ho,Rimyongsu,north_korea
23,10,2,Jang Song-hyok,Rimyongsu,north_korea
26,35,2,Jon Kwang-ik,Amrokgang,north_korea
27,3,0,Han Song-hyok,Rimyongsu,north_korea
24,12,2,Ro Hak-su,Rimyongsu,north_korea
24,2,2,Ri Sang-chol,Rimyongsu,north_korea
33,21,4,Ryang Yong-gi,Vegalta Sendai,north_korea
27,31,10,Pak Song-chol,Rimyongsu,north_korea
22,12,3,Pak Kwang-ryong,Basel,north_korea
22,25,6,Jong Il-gwan,Rimyongsu,north_korea
22,1,0,Om Chol-song,April 25,north_korea
24,9,1,Sim Hyon-jin,April 25,north_korea
22,2,1,Kye Song-hyok,April 25,north_korea
20,11,2,Jang Kuk-chol,Hwaebul,north_korea
29,45,1,Cha Jong-hyok,Wil 1900,north_korea
22,3,0,So Hyon-uk,April 25,north_korea
26,0,0,Ri Kwang-il,April 25,north_korea
23,0,0,Ri Yong-jik,Tokushima Vortis,north_korea
22,4,0,Choe Won,Hwaebul,north_korea
23,3,1,O Hyok-chol,April 25,north_korea
24,14,0,Ju Kwang-min,Rimyongsu,north_korea
26,10,0,Alireza Haghighi,Penafiel,iran
31,53,0,Khosro Heydari,Esteghlal,iran
24,66,3,Ehsan Hajsafi,Sepahan,iran
32,89,6,Jalal Hosseini,Al-Ahli,iran
33,20,1,Amir Hossein Sadeghi,Esteghlal,iran
34,145,37,Javad Nekounam,Osasuna,iran
30,54,5,Masoud Shojaei,Al-Shahania,iran
22,1,0,Morteza Pouraliganji,Naft Tehran,iran
27,7,0,Omid Ebrahimi,Esteghlal,iran
24,45,9,Karim Ansarifard,Osasuna,iran
27,2,0,Vouria Ghafouri,Sepahan,iran
26,2,0,Mohsen Forouzan,Esteghlal,iran
26,1,0,Vahid Amiri,Naft Tehran,iran
31,84,8,Andranik Teymourian,Tractor Sazi,iran
24,1,0,Ramin Rezaeian,Rah Ahan,iran
27,19,11,Reza Ghoochannejhad,Charlton Athletic,iran
24,2,0,Soroush Rafiei,Foolad,iran
21,12,1,Alireza Jahanbakhsh,NEC,iran
23,7,0,Mohammad Reza Khanzadeh,Persepolis,iran
20,4,2,Sardar Azmoun,Rubin Kazan,iran
28,19,4,Ashkan Dejagah,Al-Arabi,iran
22,1,0,Alireza Beiranvand,Naft Tehran,iran
27,24,0,Mehrdad Pooladi,Al-Shahania,iran
30,64,0,Majed Naser,Al-Wasl,uae
24,4,0,Hassan Ibrahim Saqer,Al-Shabab,uae
29,15,4,Walid Abbas,Al-Ahli,uae
24,14,7,Habib Fardan,Al-Nasr,uae
25,37,2,Amer Abdulrahman,Baniyas,uae
29,3,0,Mohanad Salem,Al-Ain,uae
24,31,20,Ali Mabkhout,Al-Jazira,uae
25,31,0,Hamdan Al-Kamali,Al-Wahda,uae
24,9,0,Abdulaziz Hussain,Al-Ahli,uae
23,26,5,Omar Abdulrahman,Al-Ain,uae
23,57,24,Ahmed Khalil,Al-Ahli,uae
25,0,0,Khalid Eisa,Al-Ain,uae
25,6,0,Khamis Esmaeel,Al-Jazira,uae
25,2,0,Abdelaziz Sanqour,Al-Ahli,uae
26,51,7,Ismail Al Hammadi,Al-Ahli,uae
26,2,0,Mohamed Abdulrahman,Al-Ain,uae
22,3,1,Majed Hassan,Al-Ahli,uae
23,0,0,Salem Saleh,Al-Wahda,uae
31,1,0,Mohamed Ismail Ahmed Ismail,Al-Ain,uae
26,15,4,Saeed Al-Kathiri,Al-Wahda,uae
25,8,0,Haboush Saleh,Baniyas,uae
