age,cap,goal,height,name,nation,salary
29,11,0,174,ZhongguoChiZ.,china,675
29,5,0,176,ChengPiaoC.,china,495
33,87,2,185,XuriZhaoXuri,china,225
38,108,15,180,ZhiZhengZhi,china,90
26,10,0,169,JingdaoJinJ.,china,675
29,60,4,180,XiWuXi,china,653
31,72,12,178,JunminHaoJ.,china,630
27,63,15,174,LeiWuLei,china,315000
31,59,9,178,HanchaoYuH.,china,585
23,8,2,178,ShihaoWeiS.,china,360
30,32,0,188,ChengdongZhangC.,china,608
30,56,19,182,DabaoYuDabao,china,405
32,109,22,185,LinGaoLin,china,608
33,17,3,186,ZhiXiaoZhi,china,180
31,33,0,197,PavelMatiashP.,kyrgyzstan,135
21,3,0,180,KutmanKadyrbekovK.,kyrgyzstan,12087
34,17,0,185,ValeryKashubaV.,kyrgyzstan,12087
24,18,1,186,TamirlanKozubaevT.,kyrgyzstan,68
20,4,0,180,AizarAkmatovA.,kyrgyzstan,12087
26,25,1,185,ValeriKichinV.,kyrgyzstan,108000
23,6,0,176,MustafaYusupovM.,kyrgyzstan,12087
22,2,0,180,OdilzhonAbdurakhmanovO.,kyrgyzstan,12087
23,23,1,182,BaktyiarDuishobekovB.,kyrgyzstan,45
26,21,1,170,AzizSydykovA.,kyrgyzstan,12087
32,18,0,178,DanielTagoeD.,kyrgyzstan,12087
24,8,1,180,BekzhanSagynbaevB.,kyrgyzstan,12087
27,4,0,180,MirolimzhonAkhmedovM.,kyrgyzstan,12087
25,30,1,180,KairatZhyrgalbek,kyrgyzstan,12087
30,29,12,175,AntonZemlyanukhinA.,kyrgyzstan,225
24,18,3,180,AkhlidinIsrailovA.,kyrgyzstan,90
29,12,3,178,TursunaliRustamovT.,kyrgyzstan,12087
20,6,0,180,ErnistBatyrkanovE.,kyrgyzstan,12087
31,24,0,180,PavelSidorenkoP.,kyrgyzstan,12087
32,27,1,174,EdgarBernhardtE.,kyrgyzstan,45
25,27,0,172,FarhadMusabekovF.,kyrgyzstan,90
29,20,7,183,VitalijLuxV.,kyrgyzstan,90
28,37,8,183,MirlanMurzaevM.,kyrgyzstan,12087
27,5,0,191,MichaelFalkesgaardM.,philippines,225
24,0,0,187,KevinRay,philippines,225
23,0,0,178,NathanielVillanuevaN.,philippines,210
34,6,0,187,ÁlvaroSilvaÁ.,philippines,720
30,37,4,180,Carlide,philippines,45
23,37,0,182,AmaniAguinaldoA.,philippines,210
24,41,3,170,DaisukeSatoD.,philippines,495
29,10,0,172,StephanPallaS.,philippines,270
23,14,0,183,LukeWoodlandL.,philippines,68
23,7,0,177,JohnPatrick,philippines,270
26,23,3,178,KevinIngresoK.,philippines,68
29,1,0,172,MiguelTantonM.,philippines,210
26,47,4,172,ManuelOttM.,philippines,45
27,5,0,178,AdamReedAdam,philippines,210
30,27,4,180,IainRamsayI.,philippines,135
32,33,4,170,StephanSchröckS.,philippines,315
25,12,1,178,CurtDizonC.,philippines,210
32,94,11,185,JamesYounghusbandJ.,philippines,68
23,16,2,167,MikeOttMike,philippines,113
30,14,6,184,JavierPatiñoJ.,philippines,450
31,102,52,180,PhilYounghusbandP.,philippines,45
30,50,8,180,PatrickReicheltP.,philippines,23
28,7,2,172,JovinBedicJ.,philippines,210
26,31,0,194,AlirezaBeiranvandAlireza,iran,180000
25,3,0,186,AmirAbedzadehA.,iran,113000
23,0,0,190,PayamNiazmandPayam,iran,720
22,9,0,183,MajidHosseiniM.,iran,135000
26,34,2,187,MortezaPouraliganjiM.,iran,117000
24,8,0,188,HosseinKanaaniHossein,iran,450
35,50,2,185,PejmanMontazeriP.,iran,270
25,25,0,178,MiladMohammadiM.,iran,315000
28,103,7,176,EhsanHajsafiE.,iran,117000
28,36,2,185,RaminRezaeianR.,iran,900
31,26,0,178,VouriaGhafooriV.,iran,720
31,42,0,179,OmidEbrahimiO.,iran,108000
25,16,1,190,RoozbehCheshmiR.,iran,810
26,3,0,185,AhmadNourollahiA.,iran,630
34,81,9,185,MasoudShojaeiM.,iran,450
24,26,6,185,MehdiTorabiM.,iran,900
30,46,1,181,VahidAmiriV.,iran,810
25,44,5,180,AlirezaJahanbakhshA.,iran,1620000
32,55,10,181,AshkanDejagahA.,iran,450
24,43,27,186,SardarAzmounS.,iran,855000
25,18,2,176,SamanGhoddosS.,iran,450000
28,74,18,183,KarimAnsarifardK.,iran,360000
26,38,15,187,MehdiTaremiM.,iran,153000
27,24,0,180,JalalHassan,iraq,90
32,32,0,181,MohammedKassidM.,iraq,90
26,13,0,185,MohammedHameedM.,iraq,90
26,44,0,190,AhmadIbrahim,iraq,270
25,3,0,181,FransDhia,iraq,270
24,2,0,188,SaadNatiq,iraq,270
26,7,0,192,RebinSulakaR.,iraq,248
24,16,0,183,AliFaez,iraq,225
25,46,2,185,AliAdnanAli,iraq,144000
27,26,0,175,WaleedSalimW.,iraq,90
22,10,0,180,AlaaAli,iraq,9265
20,6,0,178,SafaHadiSafa,iraq,9265
21,16,1,179,AmjadAttwanA.,iraq,9265
27,20,1,178,OsamaRashidO.,iraq,900
27,41,5,183,AhmedYasinAhmed,iraq,450
22,21,1,178,BasharResanBashar,iraq,720
22,10,1,162,HusseinAliHussein,iraq,9265
24,14,2,167,AliHusni,iraq,90
23,52,3,171,HumamTariqH.,iraq,360
22,10,1,189,AymenHusseinA.,iraq,90
18,14,8,183,MohanadAliMohanad,iraq,9265
18,2,0,175,MohammedDawoodMohammed,iraq,9265
21,2,1,180,AlaaAbbasA.,iraq,9265
21,0,0,181,TienDung,vietnam,52
28,0,0,179,TuanManh,vietnam,52
25,15,0,188,VanLam,vietnam,52
22,0,0,175,DuyManh,vietnam,52
25,25,1,180,NgocHai,vietnam,52
23,2,0,176,TienDung,vietnam,52
21,0,0,180,ThanhChung,vietnam,52
19,3,0,185,VanHau,vietnam,52
22,0,0,168,HongDuy,vietnam,52
21,0,0,179,TanTai,vietnam,52
23,0,0,165,MinhVuong,vietnam,52
23,31,1,178,XuanTruong,vietnam,45
26,1,0,174,HuyHung,vietnam,52
24,0,0,175,DucHuy,vietnam,52
25,0,0,175,HungDung,vietnam,52
29,43,11,170,TrongHoang,vietnam,90
21,3,1,168,QuangHai,vietnam,52
27,0,0,173,VanDai,vietnam,52
22,0,0,175,VanDuc,vietnam,52
24,31,8,168,CongPhuong,vietnam,23
22,10,3,169,VanToan,vietnam,52
21,0,0,176,DucChinh,vietnam,52
21,0,0,183,TienLinh,vietnam,52
