age,cap,name,club,nation,height,salary
31,1,Saša Ognenovski,Seongnam Ilhwa Chunma,Australia,195,900
31,78,Brett Emerton,Blackburn Rovers,Australia,185,360000
29,50,Luke Wilkshire,Dynamo Moscow,Australia,176,360000
27,20,Scott McDonald,Middlesbrough,Australia,173,360000
32,47,Harry Kewell,Galatasaray,Australia,180,810000
22,5,Nathan Burns,AEK Athens,Australia,173,540
26,0,Nathan Coe,SønderjyskE,Australia,191,225
29,31,Jade North,Wellington Phoenix,Australia,181,720
26,38,Brett Holman,AZ,Australia,177,225000
26,16,Mile Jedinak,Gençlerbirliği,Australia,187,180000
26,29,Carl Valeri,Sassuolo,Australia,183,180000
27,6,Matt McKay,Brisbane Roar,Australia,171,270
28,2,Brad Jones,Liverpool,Australia,194,135000
19,3,Tommy Oar,Utrecht,Australia,169,450
22,5,Matthew Špiranović,Urawa Red Diamonds,Australia,188,450
28,14,Jonathan McKain,Al-Nassr,Australia,185,450
25,2,Neil Kilkenny,Leeds United,Australia,173,675
22,0,Robbie Kruse,Melbourne Victory,Australia,179,315
30,0,Mahmood Abdulla,Al-Muharraq,bahrain,180,405
21,6,Rashed Al Hooti,East Riffa,bahrain,180,405
30,67,Abdulla Al Marzooqi,Al-Sailiya,bahrain,184,540
25,27,Abdulla Baba Fatadi,Al-Ittihad Kalba,bahrain,176,180
28,5,Saleh Abdulhameed,Al-Najma,bahrain,180,405
23,13,Abbas Ayyad,Al-Ahli,bahrain,180,135
26,17,Hamad Rakea Al Anezi,Riffa,bahrain,181,405
25,43,Jaycee John Okwunwanne,Eskişehirspor,bahrain,184,117000
20,2,Abdulwahab Al Malood,Al-Muharraq,bahrain,180,180
22,10,Waleed Al Hayam,Al-Muharraq,bahrain,180,405
24,55,Ismail Abdul-Latif,Riffa,bahrain,182,405
25,50,Faouzi Mubarak Aaish,Al-Sailiya,bahrain,180,450
26,34,Mahmood Abdulrahman,Al-Shamal,bahrain,174,495
33,101,Salman Isa,Al-Arabi,bahrain,175,270
24,35,Abdullah Omar,Neuchâtel Xamax,bahrain,176,585
28,4,Dawood Saad,Riffa,bahrain,180,405
28,63,Hussain Ali Baba,Al-Shabab,bahrain,184,405
23,14,Abdulwahab Al Safi,Al-Ahli,bahrain,180,405
23,0,Mahmood Al Ajmi,Riffa,bahrain,180,405
25,17,Abdulla Al-Dakeel,Al-Muharraq,bahrain,183,675
28,0,Ahmed Mushaima,Al Ahli,bahrain,180,405
27,10,Abbas Ahmed Khamis,Al-Ahli,bahrain,180,113
30,14,Ebrahim Al Mishkhas,Al-Muharraq,bahrain,184,158
24,30,Subrata Pal,Pune,india,185,79
23,0,Moirangthem Govin Singh,East Bengal,india,183,79
23,22,Nanjangud Shivananju Manju,Mohun Bagan,india,179,79
23,1,Rakesh Masih,Mohun Bagan,india,186,79
26,23,Anwar Ali,Dempo,india,189,79
23,2,Baldeep Singh Junior,JCT,india,180,79
27,37,Pappachen Pradeep,Mumbai,india,175,68
31,55,Renedy Singh,Unattached,india,178,79
30,28,Abhishek Yadav,Mumbai,india,188,79
28,19,Clifford Miranda,Dempo,india,172,79
26,40,Sunil Chhetri,Sporting Kansas City,india,170,113
31,42,Deepak Mondal,Mohun Bagan,india,173,79
18,0,Gurpreet Singh Sandhu,AIFF XI,india,194,79
30,56,Mahesh Gawli,Dempo,india,177,79
34,102,Baichung Bhutia,East Bengal,india,173,90
26,25,Mehrajuddin Wadoo,East Bengal,india,186,79
27,44,Irungbam Surkumar Singh,Mohun Bagan,india,175,79
28,4,Mohammed Rafi,Churchill Brothers,india,179,79
25,30,Gouramangi Singh,Churchill Brothers,india,186,79
31,51,Climax Lawrence,Dempo,india,178,45
24,1,Subhasish Roy Chowdhury,Dempo,india,185,79
26,20,Syed Rahim Nabi,East Bengal,india,169,79
27,32,Steven Dias,Churchill Brothers,india,170,79
24,37,Ri Myong-guk,Pyongyang City,north_korea,188,315
25,37,Cha Jong-hyok,Wil,north_korea,178,360
23,30,Ri Jun-il,Sobaeksu,north_korea,178,315
25,35,Pak Nam-chol,April 25,north_korea,173,450
22,6,Pak Nam-chol,Amrokgang,north_korea,173,450
