age,cap,name,club
26,96,Nashat Akram,Al-Wakrah
18,9,Saad Abdul-Amir,Al-Karkh
28,89,Emad Mohammed,Shahin Bushehr
23,20,Samer Saeed,Al-Ahly Tripoli
23,26,Mustafa Karim,Al-Sailiya
27,86,Younis Mahmoud,Al-Gharafa
29,95,Hawar Mulla Mohammed,Esteghlal
24,30,Mohammed Gassid,Erbil
23,33,Karrar Jassim,Tractor Sazi
24,27,Salam Shakir,Al-Khor
25,61,Ali Rehema,Al-Wakrah
25,32,Samal Saeed,Najaf
23,27,Alaa Abdul-Zahra,Al Kharaitiyat
27,83,Mahdi Karim,Erbil
22,15,Ahmad Ayad,Al-Quwa Al-Jawiya
21,10,Muthana Khalid,Al-Quwa Al-Jawiya
18,3,Ahmad Ibrahim,Erbil
19,1,Haidar Raad,Al-Karkh
23,16,Saad Attiya,Erbil
27,56,Mehdi Rahmati,Sepahan
34,22,Khosro Heydari,Sepahan
29,1,Farshid Talebi,Zob Ahan
28,56,Jalal Hosseini,Sepahan
29,49,Hadi Aghili,Sepahan
30,122,Javad Nekounam,Osasuna
26,34,Gholamreza Rezaei,Persepolis
26,35,Masoud Shojaei,Osasuna
27,32,Mohammad Reza Khalatbari,Zob Ahan
20,9,Karim Ansarifard,Saipa
20,30,Ehsan Hajsafi,Sepahan
32,75,Ebrahim Mirzapour,Paykan
31,12,Mohsen Bengar,Sepahan
27,51,Andranik Teymourian,Tractor Sazi
27,1,Ghasem Hadadifar,Zob Ahan
28,0,Reza Norouzi,Foolad
27,14,Mohammad Nouri,Persepolis
30,30,Pejman Nouri,Malavan
27,8,Mohammad Gholami,Steel Azin
29,74,Mohammad Nosrati,Tractor Sazi
21,0,Arash Afshin,Foolad
26,0,Shahab Gordan,Zob Ahan
28,56,Iman Mobali,Esteghlal
